,L1A,L2A,L3A,L1B,L2B,L3B,L1C,L2C,L3C,L1D,L2D,L3D,L1E,L2E,L3E,L1F,L2F,L3F,L1G,L2G,L3G,L1H,L2H,L3H
HH1G,0.09089102139792490,0.00000000000000000,0.00000000000000000,0.09819271385845270,0.00000000000000000,0.00000000000000000,0.04857188393972230,0.00000000000000000,0.00000000000000000,0.04157562398287260,0.00000000000000000,0.00000000000000000,0.03531691581340000,0.00000000000000000,0.00000000000000000,0.08843198058268110,0.00000000000000000,0.00000000000000000,0.1439152453242850,0.0000000000000000,0.0000000000000000,0.2526752332261100,0.0000000000000000,0.0000000000000000
HH2G,0.04491884100104420,0.13919605114550900,0.00000000000000000,0.03695218741878830,0.06371737506222550,0.00000000000000000,0.01870290671286730,0.03592249548482030,0.00000000000000000,0.01170183405496170,0.02081263063563590,0.00000000000000000,0.01485761045723450,0.03573364090531210,0.00000000000000000,0.02941453613474100,0.05904296870708720,0.00000000000000000,0.0627391232591986,0.1265481146914530,0.0000000000000000,0.0827353552815688,0.2458360174537880,0.0000000000000000
HH3G,0.03839476868549940,0.14367907950541200,0.14750699833449400,0.03889924159508820,0.06202739716934170,0.02999766156413340,0.01843401902465820,0.03322414882676720,0.01609743675507630,0.01434432319276850,0.01823272027590570,0.00937076895067162,0.01405377782699820,0.03395784656992790,0.01558811999389640,0.03184602137504760,0.05266100200122760,0.03268865310293560,0.0609851843610837,0.1262656500906070,0.0733165350002683,0.0909764512797854,0.2063220192761910,0.1018036906267240
HH4G,0.01404835188126460,0.17167271422478900,0.27769733804727800,0.01215710446296390,0.07806477788026220,0.06018243323710480,0.00663965303862141,0.04589005872615500,0.03420594588627610,0.00483059547035448,0.02634836864866630,0.01822819165656020,0.00494490737284599,0.04447972051563670,0.03290958398726060,0.01126840888533420,0.07478567395536340,0.06937277489704370,0.0189072416775963,0.1592905727189790,0.1420500672704660,0.0316979106448815,0.3314633686484750,0.2355219700201640
HH5G,0.04808401335835100,0.03847770609499910,0.33849655410299600,0.03819370539894770,0.01907212542972790,0.07799831247446930,0.01695971962585310,0.01065545572129620,0.04933709058434400,0.00811787622145808,0.00660584383142866,0.03048469472832600,0.01482558995166770,0.01072007698309940,0.04497098418963220,0.02352578641449400,0.01840825831217360,0.09481291485812580,0.0716163403664761,0.0352998889374295,0.1908700559646620,0.0664067650424868,0.0736721465097324,0.3799940969527420
HH1H,0.14854208797172600,0.00000000000000000,0.00000000000000000,0.08411343908976270,0.00000000000000000,0.00000000000000000,0.03927627223566430,0.00000000000000000,0.00000000000000000,0.02972766262102170,0.00000000000000000,0.00000000000000000,0.02465232417168250,0.00000000000000000,0.00000000000000000,0.04359964008978930,0.00000000000000000,0.00000000000000000,0.1110337423482610,0.0000000000000000,0.0000000000000000,0.3088254240008360,0.0000000000000000,0.0000000000000000
HH2H,0.07856797557067660,0.19433864194039500,0.00000000000000000,0.03723542963083580,0.04772454078735440,0.00000000000000000,0.01735120904839090,0.02562771165068660,0.00000000000000000,0.00871305839874845,0.01696893403240500,0.00000000000000000,0.01115487459469860,0.02435041319083630,0.00000000000000000,0.01774060349887770,0.03263155574677510,0.00000000000000000,0.0576867816833606,0.0889478395249047,0.0000000000000000,0.1145055738506620,0.2774347359890720,0.0000000000000000
HH3H,0.03918115948832440,0.15229498014639100,0.15745821720866300,0.02199079837688090,0.04619230754410000,0.01173844502791140,0.01004950341299300,0.02730783703811380,0.00934756479382281,0.00623217020950062,0.01972973133386540,0.00655622920957635,0.00619454257088828,0.02374879665790310,0.01083380339876720,0.01126793944592300,0.03876234198966420,0.01382995909151930,0.0297700492449121,0.0756555832841800,0.0289629985175928,0.0735816995573236,0.3287287297040140,0.0896571481786495
HH4H,0.04735732391210540,0.09940443059340830,0.42418769963117900,0.02964778003198180,0.02216303371118780,0.03559503747045480,0.01319255962568730,0.01241899711015390,0.02917157627241000,0.00788142231698208,0.00859310126055064,0.02122048267568520,0.00781031716584724,0.01192591868812680,0.03232346172646110,0.01570592571485350,0.01596650039450590,0.04286011862084750,0.0373639944856140,0.0457761204575725,0.0854316657243772,0.0975341832434589,0.1471177022420350,0.3124350549701550
HH5H,0.03873492329192340,0.14345482523329800,0.54080222812212800,0.04940344236399000,0.04536097877057470,0.04458701609631530,0.02072013645069540,0.02537911819759370,0.03886723529575460,0.01812420634485920,0.01742946720816690,0.02102928775624870,0.01063459193833490,0.02228343291651630,0.04014471623931410,0.03050489737376040,0.03502447922451850,0.05218042825086470,0.0387169848831873,0.0696170175247324,0.1038266208797770,0.1908216411208950,0.2788775934461960,0.3724304576752180
