dummy,IAGMIN,IUTIL,ICONS,IMANU,IWHOLE,IRETAIL,ITRANS,IPROFSER,IREALE,IEDU,IHEALTH,IART,IACCO,MAGMIN,MUTIL,MCONS,MMANU,MWHOLE,MRETAIL,MTRANS,MPROFSER,MREALE,MEDU,MHEALTH,MART,MACCO,IL1,IL2,IL3,IL4,ML1,ML2,ML3,ML4,KAP,INVES,HS1I,HS2I,HS3I,HS1M,HS2M,HS3M,IHH1,IHH2,IHH3,IHH4,IHH5,MHH1,MHH2,MHH3,MHH4,MHH5,IUSSOC1,IUSSOC2,IUSSOC3,IUSSOC4,MUSSOC1,MUSSOC2,MUSSOC3,MUSSOC4,PROTAX,TXSTX,COUNTYSTX,USPIT,OTX,CYGF,COUNTY,STATE,FED,OUT1,OUT2,OUT3,OUT4,ROW
MUSSOC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027547232,0.005900742,0.328773768,0.079487083,0.105216085,1.65076157,0.034922531,1.152965838,0.027717146,0.740516618,0.456669392,0.29920006,2.230855313,0,0,0,0,3.00332397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004068774,0.004068774,0,0,0,0,0,0
MUSSOC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06675899,0.347771438,2.826706432,1.482777941,0.768489382,6.739062133,0.610936982,5.092183243,0.381435926,4.760559565,3.187620475,0.433747803,4.624131641,0,0,0,0,0,14.05290954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289141439,0.266772509,0.019302306,0,0,0,0,0
MUSSOC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95708855,0.99653965,9.933054818,9.52012901,3.183473154,3.451466722,1.992179867,17.23968262,2.345852289,28.63972764,13.35050033,0.747230276,2.470766792,0,0,0,0,0,0,47.43763548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.863566024,1.724312461,0.131970841,0,0,0,0,0
MUSSOC4,0,0,0,0,0,0,0,0,0,0,0,0,0,2.852726554,0.874679604,11.6781322,23.84750206,4.985673742,8.153349023,1.196232464,27.83713214,1.418924691,15.33609545,11.79556732,0,0.116623947,0,0,0,0,0,0,0,55.2657252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79296142,1.652456742,0.119956502,0,0,0,0,0
PROTAX,0.012736862,0.357031011,0.391801935,0.577392902,0.174976016,3.284781698,0.173710259,1.509026612,0.585010266,0.779434598,0.581224803,0.155223325,1.185044734,0.049709811,1.019125256,1.248803613,4.165875352,1.240783333,15.61897034,0.485901388,7.270082229,1.295078335,6.030525777,3.603995813,1.012813941,3.602409802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.681978763,1.742943662,4.278061695,7.927710757,9.074450552,2.852660302,7.265021093,17.84655433,33.06280464,37.84834419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXSTX,0.041971586,0.032502365,0.177965717,0.127292844,0.064790638,0.216892988,0.35334352,0.817925605,0.113413925,2.394899663,0.511421813,0.085508765,0.305801391,0.190891924,0.108786017,1.210965637,1.707896484,0.442150063,0.977637446,0.187476636,2.509386268,0.204084216,2.419171877,1.407703883,0.072373277,0.461684845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COUNTYSTX,0.055402494,0.042903122,0.234914746,0.168026554,0.085523643,0.286298745,0.466413447,1.079661799,0.149706382,3.161267555,0.675076794,0.112871569,0.403657836,0.25197734,0.143597542,1.59847464,2.254423359,0.583638083,1.290481429,0.247469159,3.312389874,0.269391165,3.193306878,1.858169126,0.095532725,0.609423995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USPIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.064,12.643,16.085,15.007,205.175,10.546,73.173,117.793,136.862,1436.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTX,0.013954671,0.010806354,0.059169865,0.042322199,0.021541527,0.072112366,0.117479304,0.271943096,0.03770775,0.796253869,0.170037018,0.028429869,0.101672544,0.063467558,0.036169067,0.402620656,0.567839732,0.147005615,0.32504393,0.062332046,0.834318262,0.067853718,0.804323871,0.468031994,0.024062595,0.15350052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CYGF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.992,0,22.63,0,5.7,0,0,0,0,0,0,0,0,0
